clase,syn
http://purl.obolibrary.org/obo/DOID_0050436,MUL
http://purl.obolibrary.org/obo/DOID_0050436,trastorno del crecimiento de Mulibrey
http://purl.obolibrary.org/obo/DOID_0050436,enanismo musculo-hígado-cerebro-ojo
http://purl.obolibrary.org/obo/DOID_0050436,constricción pericárdica y fracaso del crecimiento
http://purl.obolibrary.org/obo/DOID_0050436,síndrome de Perheentupa
http://purl.obolibrary.org/obo/DOID_0050437,enfermedad de Antopol
http://purl.obolibrary.org/obo/DOID_0050437,pseudoglucogenosis tipo II
http://purl.obolibrary.org/obo/DOID_3211,trastorno de enzima lisosomal
http://purl.obolibrary.org/obo/DOID_3211,trastorno innato de enzima lisosomal
http://purl.obolibrary.org/obo/DOID_3211,trastorno del metabolismo de almacenamiento lisosomal
http://purl.obolibrary.org/obo/DOID_0050440,síndrome de Dunnigan
http://purl.obolibrary.org/obo/DOID_0050440,síndrome de Köbberling-Dunnigan
http://purl.obolibrary.org/obo/DOID_0050441,sulfatidosis juvenil tipo Austin
